#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
3075446|1987-12-31T23:50:16|-6.3346|131.5|27.0|ISC|ISC|ISC|451966|mb|4.7|NEIC|TANIMBAR ISLANDS REG., INDONESIA
3075401|1987-12-31T19:57:18|3.1013|127.0328|64.8|ISC|ISC|ISC|451950|mb|4.4|NEIC|TALAUD ISLANDS, INDONESIA
3075248|1987-12-31T00:25:56|-7.3081|128.3161|110.0|ISC|ISC|ISC|451895|mb|4.4|NEIC|BANDA SEA
3075201|1987-12-30T20:48:57|4.2459|128.6054|33.0|ISC|ISC|ISC|451883|mb|4.7|NEIC|NORTH OF HALMAHERA, INDONESIA
3075039|1987-12-30T06:39:02|-7.1847|129.2642|121.6|ISC|ISC|ISC|451840|mb|5.1|NEIC|BANDA SEA
3075021|1987-12-30T03:45:37|-6.5062|130.6054|156.2|ISC|ISC|ISC|451835|mb|4.0|NEIC|BANDA SEA
3074902|1987-12-29T17:44:12|1.5641|126.5481|85.7|ISC|ISC|ISC|451801|mb|4.5|NEIC|NORTHERN MOLUCCA SEA
3074630|1987-12-29T01:10:02|-11.662|117.8342|33.0|ISC|ISC|ISC|451754|mb|4.4|NEIC|SOUTH OF SUMBAWA, INDONESIA
3074583|1987-12-28T22:15:54|-10.1599|116.5301|33.0|ISC|ISC|ISC|451746|mb|4.2|NEIC|SOUTH OF SUMBAWA, INDONESIA
3074579|1987-12-28T21:54:48|-8.9747|131.1032|49.0|ISC|ISC|ISC|451745|mb|4.6|NEIC|TANIMBAR ISLANDS REG., INDONESIA
3074272|1987-12-28T08:52:19|-10.0334|118.559|33.0|ISC|ISC|ISC|451705|mb|3.3|NEIC|SOUTH OF SUMBAWA, INDONESIA
3074236|1987-12-28T07:46:53|-8.7436|121.639|161.1|ISC|ISC|ISC|451702|mb|4.8|NEIC|FLORES REGION, INDONESIA
3074228|1987-12-28T07:31:21|9.7179|126.1438|33.0|ISC|ISC|ISC|451701|mb|5.0|NEIC|MINDANAO, PHILIPPINES
3073328|1987-12-26T19:10:06|2.6017|126.9016|33.0|ISC|ISC|ISC|451608|mb|4.5|NEIC|NORTHERN MOLUCCA SEA
3072391|1987-12-25T18:39:34|-6.3302|130.0646|155.8|ISC|ISC|ISC|451534|mb|4.9|NEIC|BANDA SEA
3072090|1987-12-25T05:00:12|-2.0525|137.6652|33.0|ISC|ISC|ISC|451507|mb|3.9|NEIC|IRIAN JAYA, INDONESIA
3071569|1987-12-24T11:28:19|2.7893|128.9951|33.0|ISC|ISC|ISC|451462|mb|4.6|ISC|HALMAHERA, INDONESIA
3071081|1987-12-23T20:51:38|-8.8278|118.7396|132.7|ISC|ISC|ISC|451423|mb|4.5|NEIC|SUMBAWA REGION, INDONESIA
3070800|1987-12-23T13:00:29|-1.6842|129.3186|33.0|ISC|ISC|ISC|451397|mb|3.8|NEIC|HALMAHERA, INDONESIA
3070714|1987-12-23T10:55:42|-6.0205|129.9499|140.6|ISC|ISC|ISC|451388|mb|4.3|NEIC|BANDA SEA
3070702|1987-12-23T10:10:14|-0.179|124.9572|15.7|ISC|ISC|ISC|451387|mw|5.7|NEIC|SOUTHERN MOLUCCA SEA
3069523|1987-12-22T03:50:38|-8.7185|118.6052|91.2|ISC|ISC|ISC|451284|mb|4.5|NEIC|SUMBAWA REGION, INDONESIA
3067201|1987-12-19T10:14:47|-0.161|122.8782|182.4|ISC|ISC|ISC|451075|mb|5.1|NEIC|MINAHASSA PENINSULA, SULAWESI
3066605|1987-12-18T19:12:27|4.9504|94.3613|54.8|ISC|ISC|ISC|451020|mb|4.9|NEIC|OFF W COAST OF NORTHERN SUMATRA
3065589|1987-12-18T02:35:42|-8.176|120.991|33.0|ISC|ISC|ISC|450940|mb|4.5|NEIC|FLORES REGION, INDONESIA
3065322|1987-12-17T20:22:58|-9.1107|114.6281|45.5|ISC|ISC|ISC|450917|mb|5.7|NEIC|SOUTH OF BALI, INDONESIA
3064729|1987-12-17T09:33:11|-2.4143|139.2581|33.0|ISC|ISC|ISC|450866|mb|4.2|NEIC|NEAR NORTH COAST OF IRIAN JAYA
3063565|1987-12-17T01:48:10|4.9771|94.4594|54.7|ISC|ISC|ISC|450769|mb|4.9|NEIC|OFF W COAST OF NORTHERN SUMATRA
3063401|1987-12-16T20:03:46|-9.1761|124.0749|33.0|ISC|ISC|ISC|450754|mb|4.8|NEIC|TIMOR REGION
3063393|1987-12-16T19:15:05|-2.3286|138.4728|33.0|ISC|ISC|ISC|450753|mb|4.0|NEIC|IRIAN JAYA, INDONESIA
3063241|1987-12-16T14:48:32|-11.5188|117.9831|33.0|ISC|ISC|ISC|450740|mb|3.8|NEIC|SOUTH OF SUMBAWA, INDONESIA
3063079|1987-12-16T10:40:27|-2.3028|133.1723|33.0|ISC|ISC|ISC|450725|mb|4.2|NEIC|IRIAN JAYA REGION, INDONESIA
3062940|1987-12-16T07:01:25|1.4133|128.06|33.0|ISC|ISC|ISC|450713|mb|4.6|NEIC|HALMAHERA, INDONESIA
3062826|1987-12-16T03:42:38|-9.1989|118.8518|108.6|ISC|ISC|ISC|450703|mb|4.4|NEIC|SUMBAWA REGION, INDONESIA
3062588|1987-12-15T17:31:47|-0.1849|124.4273|87.3|ISC|ISC|ISC|450681|mb|4.7|NEIC|SOUTHERN MOLUCCA SEA
3061946|1987-12-15T02:01:49|8.8539|126.2278|33.0|ISC|ISC|ISC|450627|mb|4.6|NEIC|MINDANAO, PHILIPPINES
3061648|1987-12-14T15:50:43|-7.4433|128.4891|165.0|ISC|ISC|ISC|450603|mb|3.9|NEIC|BANDA SEA
3061574|1987-12-14T14:41:45|-6.892|130.512|127.7|ISC|ISC|ISC|450598|mb|4.8|ISC|BANDA SEA
3061437|1987-12-14T08:28:26|-9.443|108.2532|43.8|ISC|ISC|ISC|450583|mb|5.4|NEIC|SOUTH OF JAVA, INDONESIA
3061126|1987-12-13T23:48:56|-3.2751|101.5759|33.0|ISC|ISC|ISC|450556|mb|4.9|ISC|SOUTHERN SUMATRA, INDONESIA
3058960|1987-12-11T18:24:41|-8.0463|119.9086|173.6|ISC|ISC|ISC|450391|mb|4.1|NEIC|FLORES REGION, INDONESIA
3058879|1987-12-11T16:41:25|-6.4874|130.3615|134.0|ISC|ISC|ISC|450385|mb|5.2|NEIC|BANDA SEA
3058527|1987-12-11T08:54:43|0.5734|125.1368|74.1|ISC|ISC|ISC|450355|mb|5.3|NEIC|NORTHERN MOLUCCA SEA
3058468|1987-12-11T08:20:45|-3.4518|138.7282|33.0|ISC|ISC|ISC|450350|mb|3.8|NEIC|IRIAN JAYA, INDONESIA
3058217|1987-12-11T01:42:54|2.3559|128.1416|33.0|ISC|ISC|ISC|450331|mb|5.0|NEIC|HALMAHERA, INDONESIA
3057949|1987-12-10T18:57:41|-2.0685|138.8019|33.0|ISC|ISC|ISC|450309|mb|5.0|NEIC|IRIAN JAYA, INDONESIA
3057912|1987-12-10T18:20:50|-4.5939|134.7238|33.0|ISC|ISC|ISC|450306|mb|5.3|NEIC|IRIAN JAYA REGION, INDONESIA
3057789|1987-12-10T14:27:39|-4.1309|142.221|122.4|ISC|ISC|ISC|450295|mb|5.2|NEIC|NEW GUINEA, PAPUA NEW GUINEA
3057503|1987-12-10T08:11:10|4.1998|127.7637|110.5|ISC|ISC|ISC|450271|mb|4.9|NEIC|TALAUD ISLANDS, INDONESIA
3057435|1987-12-10T07:22:45|3.4165|96.4313|59.6|ISC|ISC|ISC|450265|mb|5.2|NEIC|NORTHERN SUMATRA, INDONESIA
3057358|1987-12-10T05:19:04|-5.9769|130.7983|134.2|ISC|ISC|ISC|450260|mb|3.6|NEIC|BANDA SEA
3056095|1987-12-08T18:36:11|-9.7303|118.99|33.0|ISC|ISC|ISC|450157|mb|4.0|NEIC|SUMBAWA REGION, INDONESIA
3054159|1987-12-06T19:15:00|-8.504|124.0914|160.0|ISC|ISC|ISC|450000|mb|4.7|NEIC|TIMOR REGION
3054135|1987-12-06T18:54:06|3.8664|126.6271|65.6|ISC|ISC|ISC|449998|mb|4.4|NEIC|TALAUD ISLANDS, INDONESIA
3053878|1987-12-06T11:00:29|1.3729|126.226|130.0|ISC|ISC|ISC|449977|mb|4.1|ISC|NORTHERN MOLUCCA SEA
3053528|1987-12-06T00:48:23|3.7233|125.4529|38.2|ISC|ISC|ISC|449948|mb|5.3|NEIC|TALAUD ISLANDS, INDONESIA
3053158|1987-12-05T14:46:50|-6.4496|129.9608|158.2|ISC|ISC|ISC|449917|mb|4.5|NEIC|BANDA SEA
3053079|1987-12-05T11:47:13|-6.8346|129.9452|121.2|ISC|ISC|ISC|449909|mb|5.1|NEIC|BANDA SEA
3052005|1987-12-04T11:49:42|-1.3142|137.9796|33.0|ISC|ISC|ISC|449811|mb|4.6|NEIC|NEAR NORTH COAST OF IRIAN JAYA
3051927|1987-12-04T07:22:14|-4.3959|130.7808|33.0|ISC|ISC|ISC|449803|mb|4.3|NEIC|BANDA SEA
3051744|1987-12-04T01:08:58|-1.2684|120.6148|66.7|ISC|ISC|ISC|449785|mb|4.1|NEIC|SULAWESI, INDONESIA
3051592|1987-12-03T20:07:09|-7.3755|128.3157|162.0|ISC|ISC|ISC|449771|mb|4.8|NEIC|BANDA SEA
3051452|1987-12-03T17:45:20|-3.4202|127.7026|10.0|ISC|ISC|ISC|449758|mb|4.1|NEIC|SERAM, INDONESIA
3051365|1987-12-03T16:13:08|3.5485|126.7683|71.9|ISC|ISC|ISC|449751|mb|5.0|NEIC|TALAUD ISLANDS, INDONESIA
3051309|1987-12-03T14:29:48|-7.0569|129.2134|237.0|ISC|ISC|ISC|449745|mb|4.2|NEIC|BANDA SEA
3050330|1987-12-02T15:46:34|-4.6953|136.5093|33.0|ISC|ISC|ISC|449663|mb|4.4|NEIC|IRIAN JAYA REGION, INDONESIA
3050076|1987-12-02T10:10:25|-7.1904|128.7475|151.8|ISC|ISC|ISC|449639|mb|4.8|NEIC|BANDA SEA
3049521|1987-12-01T21:33:42|-8.8822|120.4891|33.0|ISC|ISC|ISC|449593|mb|4.3|NEIC|FLORES REGION, INDONESIA
3075004|1987-11-30T18:41:12|1.6088|126.8169|33.0|ISC|ISC|ISC|454316|mb|4.7|NEIC|NORTHERN MOLUCCA SEA
3074918|1987-11-30T13:22:22|0.0034|126.6923|85.5|ISC|ISC|ISC|454295|mb|4.3|ISC|NORTHERN MOLUCCA SEA
3074749|1987-11-30T04:41:39|-0.0321|125.0279|46.8|ISC|ISC|ISC|454257|mb|5.4|NEIC|SOUTHERN MOLUCCA SEA
3074512|1987-11-29T23:33:08|-4.0926|102.2934|33.0|ISC|ISC|ISC|454228|mb|4.6|ISC|SOUTHERN SUMATRA, INDONESIA
3074487|1987-11-29T21:06:12|1.5004|126.7154|116.9|ISC|ISC|ISC|454223|mb|4.3|NEIC|NORTHERN MOLUCCA SEA
3074470|1987-11-29T20:13:15|-5.88|130.687|184.0|NEIC|ISC|ISC|454220|mb|4.2|NEIC|BANDA SEA
3074391|1987-11-29T14:48:04|-0.3325|125.2587|66.6|ISC|ISC|ISC|454210|mb|4.9|NEIC|SOUTHERN MOLUCCA SEA
3074075|1987-11-29T03:45:47|-11.5331|120.7288|33.0|ISC|ISC|ISC|454165|mb|3.6|NEIC|SOUTH OF SUMBA, INDONESIA
3074054|1987-11-29T02:27:55|-6.7135|129.6498|127.2|ISC|ISC|ISC|454162|mb|4.1|NEIC|BANDA SEA
3073961|1987-11-29T00:31:04|-1.0982|99.8641|70.9|ISC|ISC|ISC|454153|mb|4.5|NEIC|SOUTHERN SUMATRA, INDONESIA
3073714|1987-11-28T14:00:23|-6.9895|129.1002|277.0|ISC|ISC|ISC|454126|mb|4.0|NEIC|BANDA SEA
3073500|1987-11-28T07:18:02|-0.3271|125.3608|36.6|ISC|ISC|ISC|454104|mb|4.0|NEIC|SOUTHERN MOLUCCA SEA
3073352|1987-11-28T04:03:46|-0.303|124.8811|45.7|ISC|ISC|ISC|454088|mw|6.3|NEIC|SOUTHERN MOLUCCA SEA
3072424|1987-11-27T07:05:19|5.368|125.165|33.0|NEIC|ISC|ISC|454009|mb|4.7|NEIC|MINDANAO, PHILIPPINES
3072189|1987-11-27T01:43:33|-0.1795|125.3326|60.1|ISC|ISC|ISC|453990|mb|4.6|NEIC|SOUTHERN MOLUCCA SEA
3072096|1987-11-27T00:02:07|-0.2228|125.0652|33.0|ISC|ISC|ISC|453983|mw|6.0|NEIC|SOUTHERN MOLUCCA SEA
3071934|1987-11-26T19:32:07|2.1635|127.5318|33.0|ISC|ISC|ISC|453970|mb|4.4|NEIC|NORTHERN MOLUCCA SEA
3071471|1987-11-26T04:52:05|-7.319|128.5702|141.0|ISC|ISC|ISC|453924|mb|4.3|NEIC|BANDA SEA
3071436|1987-11-26T03:51:36|-9.6219|124.7123|33.0|ISC|ISC|ISC|453921|mb|4.2|NEIC|TIMOR REGION
3071364|1987-11-26T02:10:13|-8.3749|124.2753|2.9|ISC|ISC|ISC|453912|mb|5.1|NEIC|TIMOR REGION
3071334|1987-11-26T01:43:14|-8.2561|124.1645|33.0|ISC|ISC|ISC|453910|mw|6.7|NEIC|TIMOR REGION
