#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
1822756|2004-11-11T23:07:36|-8.4907|125.4755|10.0|ISC|ISC|ISC|7434748|mb|4.6|NEIC|TIMOR REGION
1822729|2004-11-11T23:04:08|-8.5219|124.578|33.0|ISC|ISC|ISC|7434747|mb|3.9|ISC|TIMOR REGION
1822697|2004-11-11T22:49:51|-8.2859|124.7016|41.8|ISC|ISC|ISC|7434726|mb|6.1|NEIC|TIMOR REGION
1822674|2004-11-11T22:47:17|-8.4673|124.3997|33.0|ISC|ISC|ISC|7434722|mb|4.6|NEIC|TIMOR REGION
1822661|2004-11-11T22:46:17|-8.5553|124.235|0.0|IDC|ISC|ISC|7434721|mb|3.8|IDC|TIMOR REGION
1822647|2004-11-11T22:44:27|8.398|126.593|10.0|MAN|ISC|ISC|7620079|mb|4.7|MAN|MINDANAO, PHILIPPINES
1822613|2004-11-11T22:33:58|-7.5482|126.225|33.0|ISC|ISC|ISC|7434717|mb|4.5|NEIC|BANDA SEA
1822585|2004-11-11T22:27:29|-7.7935|125.0363|33.0|ISC|ISC|ISC|7434715|mb|4.4|NEIC|BANDA SEA
1822557|2004-11-11T22:20:52|-8.0551|125.2906|33.0|ISC|ISC|ISC|7434713|mb|4.9|NEIC|TIMOR REGION
1822541|2004-11-11T22:20:24|-8.0527|124.9799|49.5|ISC|ISC|ISC|7434712|mb|4.6|NEIC|TIMOR REGION
1822495|2004-11-11T22:15:44|-8.0243|124.952|33.0|ISC|ISC|ISC|7434711|mb|4.8|NEIC|TIMOR REGION
1822477|2004-11-11T22:13:45|-8.1384|125.4196|22.2|ISC|ISC|ISC|7434709|mb|5.0|NEIC|TIMOR REGION
1822425|2004-11-11T22:07:07|-8.007|125.1608|41.1|ISC|ISC|ISC|7434696|mb|5.5|NEIC|TIMOR REGION
1822399|2004-11-11T22:06:33|-8.0145|125.2667|33.0|ISC|ISC|ISC|7434694|mb|4.7|NEIC|TIMOR REGION
1822371|2004-11-11T22:02:28|-7.8003|125.5108|33.0|ISC|ISC|ISC|7434690|mb|4.0|ISC|BANDA SEA
1822324|2004-11-11T21:55:21|-8.3399|124.9071|33.0|ISC|ISC|ISC|7434666|mb|4.9|NEIC|TIMOR REGION
1822275|2004-11-11T21:46:03|-8.1012|124.4231|0.0|IDC|ISC|ISC|7434663|mb|4.3|IDC|TIMOR REGION
1822265|2004-11-11T21:43:54|-8.1928|125.0856|56.0|ISC|ISC|ISC|7434661|mb|4.9|NEIC|TIMOR REGION
1822239|2004-11-11T21:36:52|-7.9132|125.0079|33.0|ISC|ISC|ISC|7434659|mb|5.5|NEIC|BANDA SEA
1822213|2004-11-11T21:26:42|-8.1491|124.7441|23.1|ISC|ISC|ISC|7434650|MW|7.5|HRVD|TIMOR REGION
1821776|2004-11-11T19:53:23|9.217|126.26|19.0|MAN|ISC|ISC|7620078|mb|4.5|MAN|MINDANAO, PHILIPPINES
1820921|2004-11-11T16:58:35|-7.1434|113.026|47.8|DJA|ISC|ISC|7980721|ML|4.2|DJA|JAVA, INDONESIA
1820428|2004-11-11T15:10:33|-9.2875|119.208|240.0|DJA|ISC|ISC|7980720|mb|4.3|DJA|SUMBA REGION, INDONESIA
1820089|2004-11-11T13:58:22|-9.8624|114.1321|2.0|DJA|ISC|ISC|7980719|ML|4.3|DJA|SOUTH OF BALI, INDONESIA
1819287|2004-11-11T10:51:27|-3.1568|136.2254|33.0|ISC|ISC|ISC|7434383|mb|4.3|NEIC|IRIAN JAYA, INDONESIA
1819124|2004-11-11T10:17:21|-2.6102|124.8324|0.0|IDC|ISC|ISC|7434376|mb|3.8|IDC|CERAM SEA
1818390|2004-11-11T06:14:58|-7.3407|130.2934|72.9|IDC|ISC|ISC|7434268|mb|3.5|IDC|TANIMBAR ISLANDS REG., INDONESIA
1816890|2004-11-10T22:35:48|-7.1457|108.7371|46.3|ISC|ISC|ISC|7434112|mb|4.7|NEIC|JAVA, INDONESIA
1815610|2004-11-10T17:48:48|-6.68|103.1689|0.0|IDC|ISC|ISC|7434016|mb|3.8|IDC|SOUTHWEST OF SUMATRA, INDONESIA
1814804|2004-11-10T14:56:56|-4.2795|102.1437|150.0|ISC|ISC|ISC|7433948|mb|4.4|NEIC|SOUTHERN SUMATRA, INDONESIA
1814726|2004-11-10T14:45:28|-5.7299|128.6299|260.7|IDC|ISC|ISC|7433935|mb|3.4|IDC|BANDA SEA
1814490|2004-11-10T13:53:44|-9.8839|119.1952|100.0|ISC|ISC|ISC|7980705|MD|4.5|DJA|SUMBA REGION, INDONESIA
1813234|2004-11-10T09:45:31|-1.1057|127.2243|33.0|ISC|ISC|ISC|7433836|mb|4.2|NEIC|HALMAHERA, INDONESIA
1812716|2004-11-10T07:51:04|-6.9765|102.8706|25.8|ISC|ISC|ISC|7433797|MW|5.1|HRVD|SOUTHWEST OF SUMATRA, INDONESIA
1812614|2004-11-10T07:26:18|-8.455|124.9534|76.7|ISC|ISC|ISC|7433793|mb|4.6|NEIC|TIMOR REGION
1811392|2004-11-10T02:18:43|0.832|127.3335|33.0|ISC|ISC|ISC|7433669|mb|4.4|NEIC|HALMAHERA, INDONESIA
1810474|2004-11-09T23:04:33|-8.221|125.0014|6.6|ISC|ISC|ISC|7433567|mb|4.3|NEIC|TIMOR REGION
1809642|2004-11-09T20:11:18|-7.4721|129.6331|56.1|ISC|ISC|ISC|7433507|mb|3.6|NEIC|BANDA SEA
1809446|2004-11-09T19:32:20|1.0117|127.385|33.0|ISC|ISC|ISC|7433494|mb|4.4|NEIC|HALMAHERA, INDONESIA
1809112|2004-11-09T18:51:33|0.6919|122.821|87.6|ISC|ISC|ISC|7433468|MW|4.8|HRVD|MINAHASSA PENINSULA, SULAWESI
1808365|2004-11-09T16:44:58|-1.5129|134.3653|9.7|ISC|ISC|ISC|7433416|mb|4.2|NEIC|IRIAN JAYA REGION, INDONESIA
1807944|2004-11-09T15:08:14|-2.82|138.9402|38.9|ISC|ISC|ISC|7433388|mb|4.2|NEIC|IRIAN JAYA, INDONESIA
1807217|2004-11-09T12:45:12|-9.0704|113.6937|80.0|DJA|ISC|ISC|7980684|ML|4.0|DJA|SOUTH OF JAVA, INDONESIA
1806803|2004-11-09T11:25:29|-9.5172|117.768|104.2|DJA|ISC|ISC|7980681|ML|4.4|DJA|SUMBAWA REGION, INDONESIA
1806555|2004-11-09T10:36:38|-8.4823|124.9773|24.3|ISC|ISC|ISC|7433277|mb|4.4|NEIC|TIMOR REGION
1806372|2004-11-09T10:12:54|-8.1253|125.1399|16.1|ISC|ISC|ISC|7433270|mb|4.7|NEIC|TIMOR REGION
1804694|2004-11-09T03:11:50|-7.0557|120.125|0.0|IDC|ISC|ISC|7433130|mb|3.6|IDC|FLORES SEA
1803596|2004-11-08T23:19:48|-8.4084|117.8338|240.0|DJA|ISC|ISC|8006499|ML|4.7|DJA|SUMBAWA REGION, INDONESIA
1802845|2004-11-08T20:49:48|-9.2697|114.6258|68.0|DJA|ISC|ISC|8006498|ML|4.2|DJA|SOUTH OF BALI, INDONESIA
1802517|2004-11-08T19:55:48|-8.466|120.4898|200.3|ISC|ISC|ISC|7432928|mb|4.6|NEIC|FLORES REGION, INDONESIA
1802020|2004-11-08T18:43:16|-9.4267|113.9786|3.7|DJA|ISC|ISC|8006497|ML|3.2|DJA|SOUTH OF JAVA, INDONESIA
1801291|2004-11-08T16:45:54|-0.2435|122.8723|177.9|IDC|ISC|ISC|7432833|mb|3.1|IDC|MINAHASSA PENINSULA, SULAWESI
1800404|2004-11-08T15:02:48|1.4056|97.5709|0.0|IDC|ISC|ISC|7432747|mb|3.7|IDC|NORTHERN SUMATRA, INDONESIA
1799975|2004-11-08T13:37:57|-6.4547|130.1381|142.1|ISC|ISC|ISC|7432712|MW|4.8|HRVD|BANDA SEA
1799360|2004-11-08T11:39:35|-4.4368|120.2467|26.9|DJA|ISC|ISC|8006496|ML|4.0|DJA|SULAWESI, INDONESIA
1799191|2004-11-08T11:11:22|-9.712|117.4007|90.3|DJA|ISC|ISC|8006495|ML|4.8|DJA|SUMBAWA REGION, INDONESIA
1796041|2004-11-08T03:16:13|0.411|126.2917|0.0|IDC|ISC|ISC|7432510|mb|3.0|IDC|NORTHERN MOLUCCA SEA
1794393|2004-11-07T23:51:27|-11.8047|120.0213|33.0|ISC|ISC|ISC|7432421|mb|4.6|NEIC|SOUTH OF SUMBA, INDONESIA
1794066|2004-11-07T22:25:01|-5.7048|119.4028|33.0|DJA|ISC|ISC|8006481|ML|4.8|DJA|SULAWESI, INDONESIA
1793599|2004-11-07T20:11:15|0.1197|124.4767|0.0|IDC|ISC|ISC|7432350|mb|3.9|IDC|MINAHASSA PENINSULA, SULAWESI
1793299|2004-11-07T19:15:09|-7.9622|107.5852|72.8|ISC|ISC|ISC|7432332|mb|3.5|ISC|JAVA, INDONESIA
1792593|2004-11-07T17:15:46|-3.6337|119.1881|39.0|DJA|ISC|ISC|8006480|ML|3.7|DJA|SULAWESI, INDONESIA
1792476|2004-11-07T16:49:50|-9.6594|116.6436|32.6|DJA|ISC|ISC|8006479|ML|4.2|DJA|SUMBAWA REGION, INDONESIA
1792409|2004-11-07T16:30:19|-8.5723|127.9688|36.9|ISC|ISC|ISC|7432231|mb|4.7|NEIC|TIMOR REGION
1792016|2004-11-07T15:14:56|-10.0274|113.0812|63.5|DJA|ISC|ISC|8006478|ML|4.7|DJA|SOUTH OF JAVA, INDONESIA
1791419|2004-11-07T12:42:56|-10.5614|115.8831|48.9|ISC|ISC|ISC|7432160|mb|4.5|NEIC|SOUTH OF BALI, INDONESIA
1791358|2004-11-07T12:30:28|-6.5918|129.5207|105.1|ISC|ISC|ISC|7432153|mb|4.0|NEIC|BANDA SEA
1790862|2004-11-07T10:23:19|1.7633|124.0204|0.0|IDC|ISC|ISC|7432111|mb|3.9|IDC|MINAHASSA PENINSULA, SULAWESI
1790050|2004-11-07T06:39:05|4.692|125.4972|0.0|IDC|ISC|ISC|7432030|mb|3.8|IDC|TALAUD ISLANDS, INDONESIA
1790042|2004-11-07T06:36:11|6.0534|124.739|0.0|IDC|ISC|ISC|7432029|mb|3.9|IDC|MINDANAO, PHILIPPINES
1789986|2004-11-07T06:27:49|3.964|126.3735|26.8|ISC|ISC|ISC|7432016|mb|4.7|NEIC|TALAUD ISLANDS, INDONESIA
1789707|2004-11-07T05:27:09|-8.7316|115.5367|124.7|DJA|ISC|ISC|8006475|ML|4.1|DJA|BALI REGION, INDONESIA
1787944|2004-11-06T22:20:43|2.5623|128.3051|81.2|ISC|ISC|ISC|7431814|MW|5.0|HRVD|HALMAHERA, INDONESIA
1787369|2004-11-06T19:54:59|-8.5883|116.0376|107.9|DJA|ISC|ISC|8006458|ML|4.1|DJA|SUMBAWA REGION, INDONESIA
1787201|2004-11-06T18:59:17|-9.77|118.5666|180.2|DJA|ISC|ISC|8006457|ML|4.6|DJA|SUMBAWA REGION, INDONESIA
1786890|2004-11-06T17:33:47|0.2221|99.7099|71.0|ISC|ISC|ISC|7431716|mb|4.4|NEIC|NORTHERN SUMATRA, INDONESIA
1786621|2004-11-06T16:59:18|-10.0207|117.2041|33.0|DJA|ISC|ISC|8006456|ML|4.1|DJA|SOUTH OF SUMBAWA, INDONESIA
1786182|2004-11-06T15:09:42|-8.1153|117.5942|93.0|ISC|ISC|ISC|7619946|mb|4.0|NEIC|SUMBAWA REGION, INDONESIA
1785917|2004-11-06T14:18:00|2.6245|126.8122|0.0|IDC|ISC|ISC|7431650|mb|3.7|IDC|NORTHERN MOLUCCA SEA
1785231|2004-11-06T11:45:46|6.2619|123.9821|50.9|ISC|ISC|ISC|7431575|mb|4.6|NEIC|MINDANAO, PHILIPPINES
1783620|2004-11-06T04:55:59|3.8818|94.3263|13.8|ISC|ISC|ISC|7431444|mb|4.1|NEIC|OFF W COAST OF NORTHERN SUMATRA
1782264|2004-11-06T00:02:43|-3.7309|140.5331|0.0|IDC|ISC|ISC|7431348|mb|3.5|IDC|IRIAN JAYA, INDONESIA
1781991|2004-11-05T22:46:14|-7.1784|129.6644|129.4|ISC|ISC|ISC|7431314|mb|4.6|NEIC|BANDA SEA
1781684|2004-11-05T21:40:25|-7.2607|129.341|138.9|ISC|ISC|ISC|7431292|mb|4.0|NEIC|BANDA SEA
