#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
1521817|2003-01-28T21:35:07|-3.712|134.7688|0.0|IDC|ISC|ISC|6545764|mb|3.7|IDC|IRIAN JAYA REGION, INDONESIA
1521730|2003-01-28T21:05:52|-9.6237|123.7592|45.5|ISC|ISC|ISC|6545750|mb|3.8|ISC|TIMOR REGION
1521714|2003-01-28T21:00:01|-5.8017|127.204|0.0|IDC|ISC|ISC|6545748|mb|3.4|IDC|BANDA SEA
1521639|2003-01-28T20:31:46|9.023|124.887|116.0|MAN|ISC|ISC|6545734|mb|4.4|MAN|MINDANAO, PHILIPPINES
1521566|2003-01-28T20:08:51|-9.1792|119.0489|123.5|ISC|ISC|ISC|6545719|mb|4.7|NEIC|SUMBA REGION, INDONESIA
1521352|2003-01-28T18:37:29|-4.1942|106.2904|0.0|IDC|ISC|ISC|6545679|mb|3.5|IDC|SOUTHERN SUMATRA, INDONESIA
1521228|2003-01-28T17:14:48|-1.0361|121.1981|33.0|ISC|ISC|ISC|6545651|mb|4.0|ISC|SULAWESI, INDONESIA
1521174|2003-01-28T16:55:45|1.4006|123.8301|0.0|IDC|ISC|ISC|6545640|mb|3.6|IDC|MINAHASSA PENINSULA, SULAWESI
1521163|2003-01-28T16:52:57|-0.4348|122.9588|33.0|ISC|ISC|ISC|6545638|mb|3.8|ISC|MINAHASSA PENINSULA, SULAWESI
1521042|2003-01-28T16:12:02|2.8514|126.4286|84.6|ISC|ISC|ISC|6545608|MW|5.3|HRVD|NORTHERN MOLUCCA SEA
1520751|2003-01-28T14:04:58|-0.7186|122.0672|5.7|ISC|ISC|ISC|6545551|MW|5.2|HRVD|MINAHASSA PENINSULA, SULAWESI
1520667|2003-01-28T13:39:00|2.0454|127.8633|0.0|IDC|ISC|ISC|6545537|mb|3.5|IDC|NORTHERN MOLUCCA SEA
1520568|2003-01-28T13:12:26|-0.5917|122.2272|77.1|ISC|ISC|ISC|6545519|mb|4.6|NEIC|MINAHASSA PENINSULA, SULAWESI
1520531|2003-01-28T13:08:46|0.2|123.5005|0.0|IDC|ISC|ISC|6545516|mb|3.6|IDC|MINAHASSA PENINSULA, SULAWESI
1520470|2003-01-28T12:47:23|6.9368|126.5025|123.2|ISC|ISC|ISC|6545497|mb|3.4|ISC|MINDANAO, PHILIPPINES
1520440|2003-01-28T12:37:04|0.0381|123.2972|0.0|IDC|ISC|ISC|6545489|mb|3.8|IDC|MINAHASSA PENINSULA, SULAWESI
1520422|2003-01-28T12:25:32|0.2545|123.6851|0.0|IDC|ISC|ISC|6545485|mb|3.9|IDC|MINAHASSA PENINSULA, SULAWESI
1520403|2003-01-28T12:21:55|-1.5217|133.9398|47.1|ISC|ISC|ISC|6545481|mb|4.4|NEIC|IRIAN JAYA REGION, INDONESIA
1520334|2003-01-28T12:08:59|-9.8759|114.3531|33.0|ISC|ISC|ISC|6545470|ML|3.5|DJA|SOUTH OF BALI, INDONESIA
1520301|2003-01-28T12:02:38|-3.9328|134.8629|200.0|ISC|ISC|ISC|6545464|mb|4.1|ISC|IRIAN JAYA REGION, INDONESIA
1520293|2003-01-28T11:59:27|-0.6585|122.2023|81.2|ISC|ISC|ISC|6545463|mb|4.6|NEIC|MINAHASSA PENINSULA, SULAWESI
1520202|2003-01-28T11:29:41|-0.8063|121.9565|47.4|ISC|ISC|ISC|6545449|MW|5.4|HRVD|MINAHASSA PENINSULA, SULAWESI
1520067|2003-01-28T10:46:42|-6.7897|129.591|0.0|IDC|ISC|ISC|6545428|mb|3.6|IDC|BANDA SEA
1520045|2003-01-28T10:40:12|-9.76|114.506|33.0|ISC|ISC|ISC|6545424|ML|4.2|DJA|SOUTH OF BALI, INDONESIA
1519969|2003-01-28T10:06:17|-9.3491|115.2424|58.5|ISC|ISC|ISC|6545410|ML|3.8|DJA|SOUTH OF BALI, INDONESIA
1519946|2003-01-28T09:55:59|-9.9032|114.4107|33.0|ISC|ISC|ISC|6545406|ML|5.0|DJA|SOUTH OF BALI, INDONESIA
1519847|2003-01-28T09:05:08|-9.5713|124.7556|33.0|ISC|ISC|ISC|6545388|mb|3.4|ISC|TIMOR REGION
1519813|2003-01-28T08:47:26|-7.2007|128.951|145.0|ISC|ISC|ISC|6545382|mb|3.0|ISC|BANDA SEA
1519790|2003-01-28T08:36:42|-3.9735|126.1774|242.2|ISC|ISC|ISC|6545378|mb|3.9|ISC|BURU, INDONESIA
1519591|2003-01-28T06:47:36|-0.7|122.0644|33.0|ISC|ISC|ISC|6545347|mb|3.6|ISC|MINAHASSA PENINSULA, SULAWESI
1518990|2003-01-28T02:21:33|-4.8958|128.2212|0.0|IDC|ISC|ISC|6545226|mb|3.6|IDC|BANDA SEA
1518969|2003-01-28T02:11:58|8.6541|124.7104|3.0|ISC|ISC|ISC|6545221|mb|4.6|MAN|MINDANAO, PHILIPPINES
1518818|2003-01-28T00:47:43|-3.6947|133.9166|49.5|ISC|ISC|ISC|6545195|mb|4.6|NEIC|IRIAN JAYA REGION, INDONESIA
