#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
2918406|1981-12-31T13:48:40|2.1988|126.5009|97.9|ISC|ISC|ISC|608073|mb|4.9|NEIS|NORTHERN MOLUCCA SEA
2918346|1981-12-30T22:01:07|-10.7144|114.5683|57.5|ISC|ISC|ISC|608055|mb|3.7|NEIS|SOUTH OF BALI, INDONESIA
2918335|1981-12-30T21:09:54|4.282|125.8607|103.9|ISC|ISC|ISC|608051|mb|4.7|NEIS|TALAUD ISLANDS, INDONESIA
2918306|1981-12-30T17:44:08|6.8238|127.0059|65.3|ISC|ISC|ISC|608043|mb|5.0|NEIS|PHILIPPINE ISLANDS REGION
2918286|1981-12-30T16:01:20|-9.5734|117.7187|44.9|ISC|ISC|ISC|608036|mb|4.1|NEIS|SUMBAWA REGION, INDONESIA
2918176|1981-12-30T05:50:59|6.9854|127.5524|33.0|ISC|ISC|ISC|608002|mb|3.9|ISC|PHILIPPINE ISLANDS REGION
2918106|1981-12-29T17:11:12|7.0711|94.107|9.6|ISC|ISC|ISC|607978|mb|4.8|NEIS|NICOBAR ISLANDS, INDIA REGION
2917835|1981-12-28T17:54:58|8.5982|93.1849|64.5|ISC|ISC|ISC|607920|mb|4.5|NEIS|NICOBAR ISLANDS, INDIA REGION
2917800|1981-12-28T16:11:22|7.508|134.8721|56.9|ISC|ISC|ISC|607915|mb|4.5|ISC|W. CAROLINE ISLANDS, MICRONESIA
2917757|1981-12-28T14:58:47|7.5453|135.1482|14.8|ISC|ISC|ISC|607907|mb|4.4|ISC|W. CAROLINE ISLANDS, MICRONESIA
2917646|1981-12-28T10:20:34|-2.0809|102.3487|0.0|ISC|ISC|ISC|607889|mb|4.6|ISC|SOUTHERN SUMATRA, INDONESIA
2917563|1981-12-28T05:43:22|7.0152|126.4042|223.6|ISC|ISC|ISC|607874|mb|3.6|ISC|MINDANAO, PHILIPPINES
2917541|1981-12-28T01:53:02|-6.8056|129.8974|120.7|ISC|ISC|ISC|607870|mb|4.6|NEIS|BANDA SEA
2917480|1981-12-27T22:00:20|-9.0918|112.0992|86.4|ISC|ISC|ISC|607857|mb|4.6|ISC|SOUTH OF JAVA, INDONESIA
2917470|1981-12-27T20:56:20|0.8035|126.3313|72.4|ISC|ISC|ISC|607855|mb|4.6|NEIS|NORTHERN MOLUCCA SEA
2917352|1981-12-27T16:36:47|-4.7848|139.3219|33.0|ISC|ISC|ISC|607835|mb|4.2|ISC|IRIAN JAYA, INDONESIA
2917301|1981-12-27T10:30:39|-2.1083|139.7865|0.0|ISC|ISC|ISC|607826|mb|5.7|NEIS|NEAR NORTH COAST OF IRIAN JAYA
2917176|1981-12-27T00:53:08|2.2994|128.3016|32.9|ISC|ISC|ISC|607802|mb|4.2|ISC|HALMAHERA, INDONESIA
2917149|1981-12-26T21:50:44|-7.2321|129.2127|158.1|ISC|ISC|ISC|607797|mb|5.3|NEIS|BANDA SEA
2917123|1981-12-26T19:38:05|-9.5377|119.3099|71.2|ISC|ISC|ISC|607793|mb|4.4|NEIS|SUMBA REGION, INDONESIA
2916950|1981-12-26T10:17:14|-2.1302|139.7895|12.0|ISC|ISC|ISC|607771|mb|4.8|NEIS|NEAR NORTH COAST OF IRIAN JAYA
2916544|1981-12-25T00:28:16|4.7402|118.4539|46.8|ISC|ISC|ISC|607707|mb|5.4|NEIS|BORNEO
2915983|1981-12-23T01:22:26|-6.5194|130.226|154.8|ISC|ISC|ISC|607610|mb|5.0|NEIS|BANDA SEA
2915898|1981-12-22T18:58:43|5.4819|127.0693|33.0|ISC|ISC|ISC|607595|mb|4.1|ISC|PHILIPPINE ISLANDS REGION
2915656|1981-12-21T21:10:43|3.5063|128.7891|74.5|ISC|ISC|ISC|607552|mb|4.5|ISC|NORTH OF HALMAHERA, INDONESIA
2915388|1981-12-21T06:21:34|9.9081|126.2821|55.3|ISC|ISC|ISC|607513|mb|4.8|NEIS|MINDANAO, PHILIPPINES
2915337|1981-12-21T01:50:19|-8.4434|120.7545|160.8|ISC|ISC|ISC|607504|mb|5.2|NEIS|FLORES REGION, INDONESIA
2914822|1981-12-20T03:15:55|-9.3143|109.9018|51.6|ISC|ISC|ISC|607422|mb|4.4|ISC|SOUTH OF JAVA, INDONESIA
2914204|1981-12-19T05:54:26|-8.6318|118.5373|129.9|ISC|ISC|ISC|607330|mb|4.3|NEIS|SUMBAWA REGION, INDONESIA
2914167|1981-12-18T23:54:08|7.2143|126.9807|191.4|ISC|ISC|ISC|607324|mb|3.9|ISC|MINDANAO, PHILIPPINES
2914131|1981-12-18T18:31:41|1.5692|126.3952|91.3|ISC|ISC|ISC|607318|mb|5.2|NEIS|NORTHERN MOLUCCA SEA
2914022|1981-12-18T13:41:07|-6.3785|104.0354|45.6|ISC|ISC|ISC|607302|mb|5.1|NEIS|SUNDA STRAIT, INDONESIA
2913830|1981-12-17T15:57:26|9.4249|125.875|86.8|ISC|ISC|ISC|607272|mb|4.2|NEIS|MINDANAO, PHILIPPINES
2913787|1981-12-17T11:44:25|0.9146|123.3863|73.3|ISC|ISC|ISC|607265|mb|5.0|NEIS|MINAHASSA PENINSULA, SULAWESI
