time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1993-12-31T16:53:09.100Z,3.032,96.41,72.6,4.9,mb,,,,1,us,usp00065vx,2014-11-07T00:54:39.403Z,"northern Sumatra, Indonesia",earthquake,,12.8,,31,reviewed,us,us
1993-12-31T12:16:47.470Z,-6.825,129.654,129.1,5,mb,,,,0.9,us,usp00065vk,2014-11-07T00:54:39.383Z,"Banda Sea",earthquake,,20.6,,7,reviewed,us,us
1993-12-30T19:18:46.960Z,-1.626,133.775,61.5,5,mb,,,,1.4,us,usp00065up,2014-11-07T00:54:39.273Z,"Papua, Indonesia",earthquake,,19.4,,10,reviewed,us,us
1993-12-28T11:05:54.570Z,-4.013,142.278,10,4.3,mb,,,,1.2,us,usp00065rf,2014-11-07T00:54:38.756Z,"New Guinea, Papua New Guinea",earthquake,,,,2,reviewed,us,us
1993-12-28T10:32:09.950Z,-6.435,102.631,33,4.8,mb,,,,0.6,us,usp00065rd,2014-11-07T00:54:38.753Z,"southwest of Sumatra, Indonesia",earthquake,,,,8,reviewed,us,us
1993-12-28T05:42:00.740Z,-1.899,120.925,60.5,5.1,mb,,,,1.1,us,usp00065r3,2014-11-07T00:54:38.714Z,"Sulawesi, Indonesia",earthquake,,9.6,,11,reviewed,us,us
1993-12-28T05:34:23.600Z,-7.08,128.196,116.4,4.3,mb,,,,0.6,us,usp00065r1,2014-11-07T00:54:38.705Z,"Kepulauan Barat Daya, Indonesia",earthquake,,25.6,,3,reviewed,us,us
1993-12-28T04:57:11.710Z,0.972,121.764,33,4.4,mb,,,,0.7,us,usp00065qz,2014-11-07T00:54:38.699Z,"Minahasa, Sulawesi, Indonesia",earthquake,,,,4,reviewed,us,us
1993-12-27T18:21:11.230Z,-1.16,121.276,33.9,4.8,mb,,,,0.9,us,usp00065qc,2014-11-07T00:54:38.502Z,"Sulawesi, Indonesia",earthquake,,15.4,,15,reviewed,us,us
1993-12-26T19:54:01.480Z,2.977,125.037,33,4.8,mb,,,,0.4,us,usp00065ph,2014-11-07T00:54:38.428Z,"Kepulauan Sangihe, Indonesia",earthquake,,,,3,reviewed,us,us
1993-12-26T06:16:05.470Z,-12.451,124.084,33,4.7,mb,,,,1,us,usp00065nr,2014-11-07T00:54:38.367Z,"south of Timor",earthquake,,,,4,reviewed,us,us
